country,stateCode,latitude,longitude,springName,type,tempF,access,fee
USA,AK,51.9250,-177.160,FUMAROLES ON KANAGA ISLAND,,219,,
USA,AK,51.8100,-177.790,HOT SPRING ON TANAGA ISLAND,,,,
USA,AK,51.9700,-176.610,HOT SPRINGS ON ADAK ISLAND,,154,,
USA,AK,52.0420,-176.108,HOT SPRINGS ON GREAT SITKIN ISLAND,,210,,
USA,AK,58.9200,-153.980,HOT SPRING WEST OF CAPE DOUGLAS,,,,
USA,AK,52.1900,-174.250,HOT SPRINGS ON ATKA ISLAND,,167,,
USA,AK,52.3400,-174.260,HOT SPRINGS ON ATKA ISLAND,,H,,
USA,AK,52.2700,-174.042,HOT SPRINGS ON ATKA ISLAND,,H,,
USA,AK,52.8700,173.130,HOT SPRING ON ATTU ISLAND,,W,,
USA,AK,66.2170,-149.547,DALL HOT SPRINGS,,129,,
USA,AK,65.2170,-162.900,HOT SPRINGS NEAR LAVA CREEK,,127,,
USA,AK,65.0930,-164.922,PILGRIM SPRINGS,,178,,
USA,AK,65.8580,-164.710,SERPENTINE HOT SPRINGS,,171,,
USA,AK,60.8370,-142.420,HOT SPRING ON TWELVEMILE CREEK,,,,
USA,AK,66.3420,-150.850,KANUTI HOT SPRINGS,,151,,
USA,AK,56.6800,-131.882,BARNES LAKE HOT SPRINGS,,79,,
USA,AK,56.2330,-131.267,BRADFIELD CANAL HOT SPRINGS,,135,,
USA,AK,65.3670,-161.250,GRANITE MOUNTAIN HOT SPRINGS,,120,,
USA,AK,65.0470,-142.848,HOT SPRING ON FLAT CREEK,,,,
USA,AK,56.9280,-158.120,SURPRISE LAKE HOT SPRING,,73,,
USA,AK,65.0530,-146.057,CHENA HOT SPRINGS,,153,,
USA,AK,65.4830,-144.637,CIRCLE HOT SPRINGS,,135,,
USA,AK,65.2330,-144.483,HOT SPRINGS ON BIG WINDY CREEK,,H,,
USA,AK,55.3340,-162.137,HOT SPRING AT WEST END EMMONS LAKE,,68,,
USA,AK,55.2170,-162.483,HOT SPRINGS EAST OF COLD BAY,,129,,
USA,AK,55.3340,-133.641,DALTON (CRAIG) HOT SPRINGS,,109,,
USA,AK,54.9000,-162.885,HOT SPRING ON AMAGAT ISLAND,,H,,
USA,AK,54.9440,-163.251,HOT SPRINGS NEAR MORZHOVOI,,145,,
USA,AK,51.7750,-178.793,FUMAROLES ON GARELOI ISLAND,,H,,
USA,AK,51.7620,-178.770,FUMAROLES ON GARELOI ISLAND,,144,,
USA,AK,62.0580,-145.222,MINERAL SPRING (LOWER KLAWASI CONE),,82,,
USA,AK,62.0810,-145.007,UPPER KLAWASI WARM SPRINGS,,86,,
USA,AK,66.1970,-154.006,TUNALKTEN LAKE HOT SPRING,,null,,
USA,AK,62.4500,-157.933,HOT SPRING NEAR FLAT,,W,,
USA,AK,55.9830,-131.661,BAILEY HOT SPRING,,198,,
USA,AK,55.9330,-131.559,BELL ISLAND HOT SPRINGS,,165,,
USA,AK,65.2160,-149.993,HUTLINANA HOT SPRINGS,,109,,
USA,AK,65.2740,-148.847,TOLOVANA HOT SPRINGS,,140,,
USA,AK,65.9080,-154.993,DENIKTOW RIDGE HOT SPRINGS,,H,,
USA,AK,65.2670,-155.280,HOT SPRINGS NEAR DULBI RIVER,,126,,
USA,AK,65.4590,-153.312,LITTLE MELOZITNA HOT SPRINGS,,176,,
USA,AK,65.1290,-154.692,MELOZI (MELOZITNA) SPRINGS,,131,,
USA,AK,65.9700,-154.033,POCAHONTAS HOT SPRINGS,,H,,
USA,AK,58.3700,-137.090,HOT SPRINGS NEAR ICY POINT,,153,,
USA,AK,58.0330,-136.017,HOT SPRINGS NORTH END TENAKEE INLET,,180,,
USA,AK,58.2400,-155.090,HOT SPRING NEAR KATMAI PASS,,H,,
USA,AK,58.2700,-154.890,HOT SPRINGS NEAR MT KATMAI,,H,,
USA,AK,63.8830,-150.717,HOT SPRINGS EAST OF DIAMOND,,W,,
